EN;FR;EG
We are all in the same boat;Nous sommes tous dans le même bateau;We are all in the same boat during this crisis.
An early bird;Un lève-tôt;"She is an early bird; she wakes up at 5 a.m."
Would rather;Préférer (je préférerais);I would rather stay at home tonight.
I could be both;Je pourrais être les deux;I could be both funny and serious.
Used to;Avant / j’avais l’habitude de;I used to play tennis every weekend.
When did you last…;Quand as-tu (la dernière fois)…;When did you last travel abroad?
On the corner;Au coin;There is a bakery on the corner of the street.
At noon;À midi;Let’s meet at noon.
At lunch time;À l’heure du déjeuner;The cafeteria is full at lunch time.
I feel seasick;J’ai le mal de mer;She felt seasick on the boat.
To cut a long story short;Pour faire court;To cut a long story short, we missed the train.
We set off;Nous sommes partis / nous avons pris la route;We set off early in the morning.
Since / For;Depuis / Pendant;They have lived here since 2010.
There wasn’t air (→ no air conditioning);Il n’y avait pas d’air (pas de climatisation);I used the expression 'There wasn’t air' in my presentation.
To tend to;Avoir tendance à;I tend to forget names.
To release;Libérer / sortir (film, musique);The band will release a new album next month.
To put off;Reporter / repousser;They put off the meeting until Friday.
To postpone;Reporter / remettre à plus tard;The meeting was postponed until tomorrow.
To catch up on;Rattraper (retard, sommeil, cours);I need to catch up on sleep.
To get on (with someone);S’entendre avec quelqu’un;She gets on well with her colleagues.
To get on (age);Vieillir;My grandmother is getting on.
To relieve;Soulager;This medicine will relieve your pain.
To nibble at;Grignoter;She was nibbling at a piece of cheese.
To snack on;Grignoter / manger des snacks;He often snacks on chips.
To spend time;Passer du temps;I like to spend time with my family.
To pass time;Passer le temps;I read books to pass time.
To be myself;Être moi-même;I can be myself with you.
Can’t stand (doing);Ne pas supporter;I can’t stand waiting.
To prefer sth to sth else;Préférer quelque chose à autre chose;I prefer tea to coffee.
To admit;Admettre / avouer;He admitted his mistake.
To deny;Nier;She denied stealing the money.
We had put it there;Nous l’avions mis là;I used the expression 'We had put it there' in my presentation.
Had you been there?;Avais-tu été là ?;Had you been there?
To blow;Souffler;The wind is blowing hard.
To blow out;Éteindre (en soufflant);She blew out the candles.
To swap;Échanger;They swapped seats on the plane.
To rent out;Louer (mettre en location);They rent out their apartment on Airbnb.
Moving;Déménager / en mouvement;We are moving to a new city.
Shy;Timide;He is too shy to speak in public.
Upbringing;Éducation;He had a strict upbringing.
